product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
4a4ff50748b951bbad4c4db6ab362eb5,bed_bath_table,73,112,2,100,30,51,9
f382fd827565382d88f7cae776c94bf8,electronics,40,469,7,100,51,17,20
99f473fc641356c42aca9d849802116e,sports_leisure,73,646,6,100,50,38,39
8ac2f39049d159c5dc030a1b85a04c20,books_general_interest,43,394,1,100,62,37,18
1430f359bb96e3dbd3509fd967ff3e38,books_general_interest,41,795,5,601,29,6,33
cce80edadcb3403d934872bc1a3a0841,telephony,68,1440,5,303,78,27,41
fd6e178a1cc9a533cf788ecb2d2904d5,toys,21,898,6,1732,72,36,44
32324b75e4430929fd383da7e33d1e99,computers_accessories,77,1579,4,594,69,11,14
a61f8f6433232c8aa580c0c854dc1df8,fashion_bags_accessories,28,1854,3,2128,53,48,63
8fb9c96a69c9959cf5564c68786cae35,sports_leisure,38,508,6,1320,30,54,41
71e7cf8f65d88fd748ee10e1c5c2f26e,toys,67,1349,4,1671,56,45,60
b30257b3e8cb321812fa19862e2e930c,audio,36,1142,6,669,17,28,22
d2c52d4c601045c76f3981a60bb86c6f,furniture_decor,56,1627,6,1096,32,53,69
d73c6e150d73bbb3afbde194d5335d73,auto,32,436,5,100,73,13,26
a67f1bfa6738db8f4c0f2e3c5bb519fb,luggage_accessories,54,1176,4,912,47,5,58
8b13f1342f06366205ca6ee1bfc171ea,housewares,66,1412,7,2405,56,34,19
8f767a425839e5fbb05fb4fce4ec88f7,health_beauty,42,1683,4,2326,35,39,34
9406c77ceae2e13f0f70ed7033a3e4dd,auto,53,188,5,100,36,22,30
5060e99e69ca2dcf365c2fc780772ce9,stationery,29,1705,7,1493,70,23,38
ddd70fffb0e9e8f04365a1391b5135bb,food,74,1657,2,370,69,40,54
46bb0e6fd24c03870b4d8ab3beeb1150,cool_stuff,67,1769,2,1516,59,31,13
d371194914f0f0c65ef36a476080195a,watches_gifts,46,621,5,919,73,5,12
bf2dee6580617e9bf4fb722d317ac6d4,watches_gifts,22,474,5,1515,25,59,35
